Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)
The Theory of Everything,2014,PG-13,123,7.7,72,Biography,Drama,Romance,35.89

1917,2019,13+,119,8.3,78,Drama,War,NA,159.23

The Da Vinci Code,2006,PG-13,149,6.6,46,Mystery,Thriller,NA,217.54

Citizen Kane,1941,PG,119,8.3,100,Drama,Mystery,NA,1.59

The Last Samurai,2003,R,154,7.7,55,Action,Drama,NA,111.11

It's a Wonderful Life,1946,PG,130,8.6,89,Drama,Family,Fantasy,NA

Armageddon,1998,PG-13,151,6.7,42,Action,Adventure,Sci-Fi,201.57

The 40 Year Old Virgin,2005,R,116,7.1,73,Comedy,Romance,NA,109.45

The Princess Bride,1987,NA,98,8.0,77,Adventure,Family,Fantasy,30.86

X-Men: Apocalypse,2016,13+,144,6.9,52,Action,Adventure,Sci-Fi,155.44

American Gangster,2007,R,157,7.8,76,Biography,Crime,Drama,130.16

King Kong,2005,PG-13,187,7.2,81,Action,Adventure,Drama,218.08

In Bruges,2008,R,107,7.9,67,Comedy,Crime,Drama,7.76

The Mummy,1999,PG-13,124,7.0,48,Action,Adventure,Fantasy,155.25

Live Free or Die Hard,2007,PG-13,128,7.1,69,Action,Thriller,NA,134.53

Training Day,2001,R,122,7.7,69,Crime,Drama,Thriller,76.63

Midnight in Paris,2011,PG-13,96,7.7,81,Comedy,Fantasy,Romance,56.82

Mission: Impossible,1996,PG-13,110,7.1,59,Action,Adventure,Thriller,180.98

Unbreakable,2000,PG-13,106,7.3,62,Drama,Mystery,Sci-Fi,95.01

Transformers: Dark of the Moon,2011,PG-13,154,6.2,42,Action,Adventure,Sci-Fi,352.39

Transformers: Revenge of the Fallen,2009,PG-13,149,6.0,35,Action,Adventure,Sci-Fi,402.11

This Is the End,2013,D,107,6.6,67,Comedy,NA,NA,101.47

Spectre,I 2015,D,148,6.8,60,Action,Adventure,Thriller,200.07

Alice in Wonderland,I 2010,PG,108,6.4,53,Adventure,Family,Fantasy,334.19

Platoon,1986,NA,120,8.1,92,Drama,War,NA,138.53

Justice League,2017,13+,120,6.3,45,Action,Adventure,Fantasy,229.02

Saw,2004,17+,103,7.6,46,Horror,Mystery,NA,56.00

Wreck-It Ralph,2012,PG,101,7.7,72,Animation,Adventure,Comedy,189.42

The Lost World: Jurassic Park,1997,PG-13,129,6.6,59,Action,Adventure,Sci-Fi,229.09

Tropic Thunder,2008,R,107,7.0,71,Action,Comedy,War,110.52

Terminator 3: Rise of the Machines,2003,R,109,6.3,66,Action,Sci-Fi,NA,150.37

Scott Pilgrim vs. the World,2010,PG-13,112,7.5,69,Action,Comedy,Fantasy,31.49

28 Days Later...,2002,R,113,7.6,73,Drama,Horror,Sci-Fi,45.06

Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,84,7.3,89,Comedy,NA,NA,128.51

The Cabin in the Woods,2011,R,95,7.0,72,Horror,NA,NA,42.07

American Pie,1999,R,95,7.0,58,Comedy,NA,NA,102.56

Godzilla,2014,PG-13,123,6.4,62,Action,Adventure,Sci-Fi,200.68

Unforgiven,1992,R,130,8.2,85,Drama,Western,NA,101.16

Aladdin,1992,NA,90,8.0,86,Animation,Adventure,Comedy,217.35

Cloverfield,2008,PG-13,85,7.0,64,Action,Horror,Sci-Fi,80.05

The Wizard of Oz,1939,PG,102,8.0,92,Adventure,Family,Fantasy,2.08

Brave,2012,SU,93,7.1,69,Animation,Adventure,Comedy,237.28

Bruce Almighty,2003,PG-13,101,6.8,46,Comedy,Fantasy,NA,242.83

Predator,1987,NA,107,7.8,45,Action,Adventure,Sci-Fi,59.74

E.T. the Extra-Terrestrial,1982,PG,115,7.8,91,Family,Sci-Fi,NA,435.11

Coco,I 2017,SU,105,8.4,81,Animation,Adventure,Family,209.73

The Thing,1982,NA,109,8.1,57,Horror,Mystery,Sci-Fi,13.78

The Devil Wears Prada,2006,PG-13,109,6.9,62,Comedy,Drama,NA,124.74

In Time,2011,PG-13,109,6.7,53,Action,Sci-Fi,Thriller,37.52

Despicable Me 2,2013,PG,98,7.3,62,Animation,Adventure,Comedy,368.06

Sicario,2015,R,121,7.6,82,Action,Crime,Drama,46.89

Furious 6,2013,PG-13,130,7.1,61,Action,Adventure,Thriller,238.68

Amadeus,1984,R,160,8.3,88,Biography,Drama,History,51.97

Room,I 2015,13+,118,8.1,86,Drama,Thriller,NA,14.68

The Shape of Water,2017,17+,123,7.3,87,Adventure,Drama,Fantasy,63.86

Moneyball,2011,PG-13,133,7.6,87,Biography,Drama,Sport,75.61

Cars,2006,NA,117,7.1,73,Animation,Comedy,Family,244.08

Life of Brian,1979,NA,94,8.1,77,Comedy,NA,NA,20.05

"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,6.9,75,Adventure,Family,Fantasy,291.71

Madagascar,2005,PG,86,6.9,57,Animation,Adventure,Comedy,193.60

Ready Player One,2018,13+,140,7.5,64,Action,Adventure,Sci-Fi,137.69

Aquaman,2018,13+,143,6.9,55,Action,Adventure,Fantasy,335.06

Black Hawk Down,2001,R,144,7.7,74,Drama,History,War,108.64

Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,141,6.6,53,Action,Adventure,Fantasy,515.20

Die Hard: With a Vengeance,1995,R,128,7.6,58,Action,Adventure,Thriller,100.01

Spider-Man: Into the Spider-Verse,2018,SU,117,8.4,87,Animation,Action,Adventure,190.24

Stand by Me,1986,NA,89,8.1,75,Adventure,Drama,NA,52.29

Vertigo,1958,PG,128,8.3,100,Mystery,Romance,Thriller,3.20

John Wick: Chapter 2,2017,17+,122,7.5,75,Action,Crime,Thriller,92.03

The Exorcist,1973,R,122,8.0,81,Horror,NA,NA,232.91

Green Book,2018,13+,130,8.2,69,Biography,Comedy,Drama,85.08

Wanted,2008,R,110,6.7,64,Action,Crime,Thriller,134.51

Collateral,2004,R,120,7.5,71,Crime,Drama,Thriller,101.01

Fast & Furious 7,2015,17+,137,7.1,67,Action,Adventure,Thriller,353.01

The Big Short,2015,R,130,7.8,81,Biography,Comedy,Drama,70.26

Ocean's Twelve,2004,PG-13,125,6.5,58,Crime,Thriller,NA,125.54

Easy A,2010,PG-13,92,7.0,72,Comedy,Drama,Romance,58.40

The Machinist,2004,R,101,7.7,61,Drama,Thriller,NA,1.08

The Godfather: Part III,1990,R,162,7.6,60,Crime,Drama,NA,66.67

The Lives of Others,2006,R,137,8.4,89,Drama,Mystery,Thriller,11.29

Venom,2018,13+,112,6.7,35,Action,Adventure,Sci-Fi,213.52

The Breakfast Club,1985,NA,97,7.8,66,Comedy,Drama,NA,45.88

The Illusionist,2006,PG-13,110,7.6,68,Drama,Fantasy,Mystery,39.87

Ghostbusters,1984,NA,105,7.8,71,Action,Comedy,Fantasy,238.63

Dumb and Dumber,1994,NA,107,7.3,41,Comedy,NA,NA,127.18

2012,I 2009,PG-13,158,5.8,49,Action,Adventure,Sci-Fi,166.11

Fast Five,2011,PG-13,130,7.3,66,Action,Adventure,Crime,209.84

The Town,2010,R,125,7.5,74,Crime,Drama,Thriller,92.19

Knocked Up,2007,R,129,6.9,85,Comedy,Romance,NA,148.73

Face/Off,1997,R,138,7.2,82,Action,Crime,Sci-Fi,112.23

Passengers,I 2016,PG-13,116,7.0,41,Drama,Romance,Sci-Fi,100.01

127 Hours,2010,R,94,7.5,82,Biography,Drama,NA,18.34

The Fast and the Furious,2001,PG-13,106,6.8,58,Action,Crime,Thriller,144.53

The Mask,1994,PG-13,101,6.9,56,Action,Comedy,Crime,119.94

22 Jump Street,2014,R,112,7.0,71,Action,Comedy,Crime,191.72

Cloud Atlas,2012,R,172,7.4,55,Action,Drama,Mystery,27.11

Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,7.3,83,Drama,Horror,Musical,52.90

Terminator Salvation,2009,PG-13,115,6.5,49,Action,Sci-Fi,NA,125.32

The Game,1997,R,129,7.8,61,Action,Drama,Mystery,48.32

Maleficent,2014,PG,97,7.0,56,Action,Adventure,Family,241.41

The Fault in Our Stars,2014,PG-13,126,7.7,69,Drama,Romance,NA,124.87

Men in Black II,2002,PG-13,88,6.2,49,Action,Adventure,Comedy,190.42

The Italian Job,2003,PG-13,111,7.0,68,Action,Crime,Thriller,106.13

3 Idiots,2009,PG-13,170,8.4,67,Comedy,Drama,NA,6.53

Mission: Impossible - Rogue Nation,2015,PG-13,131,7.4,75,Action,Adventure,Thriller,195.04

Mononoke-hime,1997,PG-13,134,8.4,76,Animation,Adventure,Fantasy,2.38

The Fighter,I 2010,R,116,7.8,79,Biography,Drama,Sport,93.62

Friends with Benefits,2011,R,109,6.5,63,Comedy,Romance,NA,55.80

Super 8,2011,PG-13,112,7.0,72,Action,Adventure,Sci-Fi,127.00

Batman,1989,NA,126,7.5,69,Action,Adventure,NA,251.19

Inside Man,2006,R,129,7.6,76,Crime,Drama,Mystery,88.51

Signs,2002,PG-13,106,6.7,59,Drama,Mystery,Sci-Fi,227.97

The Others,2001,PG-13,101,7.6,74,Horror,Mystery,Thriller,96.52

Boyhood,I 2014,R,165,7.9,100,Drama,NA,NA,25.38

Die Hard 2,1990,NA,124,7.2,67,Action,Thriller,NA,117.54

Men in Black 3,2012,PG-13,106,6.8,58,Action,Adventure,Comedy,179.02

Yes Man,2008,PG-13,104,6.8,46,Comedy,Romance,NA,97.69

Moon,2009,R,97,7.9,67,Drama,Mystery,Sci-Fi,5.01

Hotel Rwanda,2004,D,121,8.1,79,Biography,Drama,History,23.53

The Aviator,2004,D,170,7.5,77,Biography,Drama,NA,102.61

Mean Girls,2004,PG-13,97,7.0,66,Comedy,NA,NA,86.06

Wedding Crashers,2005,R,119,6.9,64,Comedy,Romance,NA,209.22

The Equalizer,2014,R,132,7.2,57,Action,Crime,Thriller,101.53

Sleepy Hollow,1999,R,105,7.3,65,Fantasy,Horror,Mystery,101.07

Der Untergang,2004,R,156,8.2,82,Biography,Drama,History,5.51

The Devil's Advocate,1997,R,144,7.5,60,Drama,Mystery,Thriller,60.98

Anchorman: The Legend of Ron Burgundy,2004,PG-13,94,7.2,63,Comedy,NA,NA,85.29

Mission: Impossible III,2006,PG-13,126,6.9,66,Action,Adventure,Thriller,134.03

Hauru no ugoku shiro,2004,PG,119,8.2,80,Animation,Adventure,Family,4.71

A Star Is Born,2018,17+,136,7.6,88,Drama,Music,Romance,215.29

Man on Fire,2004,R,146,7.7,47,Action,Crime,Drama,77.91

Speed,1994,R,116,7.2,78,Action,Adventure,Thriller,121.25

50 First Dates,2004,PG-13,99,6.8,48,Comedy,Drama,Romance,120.91

The Expendables,2010,R,103,6.5,45,Action,Adventure,Thriller,103.07

Flight,I 2012,R,138,7.3,76,Drama,Thriller,NA,93.77

Due Date,2010,R,95,6.5,51,Comedy,Drama,NA,100.54

The Lego Movie,2014,SU,100,7.7,83,Animation,Action,Adventure,257.76

Brokeback Mountain,2005,R,134,7.7,87,Drama,Romance,NA,83.04

The Ring,2002,PG-13,115,7.1,57,Horror,Mystery,NA,129.13

Ocean's Thirteen,2007,PG-13,122,6.9,62,Crime,Thriller,NA,117.15

Ferris Bueller's Day Off,1986,NA,103,7.8,61,Comedy,NA,NA,70.14

Raging Bull,1980,NA,129,8.2,89,Biography,Drama,Sport,23.38

Monsters University,2013,SU,104,7.3,65,Animation,Adventure,Comedy,268.49

Mulholland Dr.,2001,R,147,7.9,85,Drama,Mystery,Thriller,7.22

Up in the Air,I 2009,R,109,7.4,83,Comedy,Drama,Romance,83.82

The Irishman,2019,R,209,7.9,94,Biography,Crime,Drama,7.00

Moonrise Kingdom,2012,PG-13,94,7.8,84,Comedy,Drama,Romance,45.51

Spider-Man: Far from Home,2019,SU,129,7.5,69,Action,Adventure,Sci-Fi,390.53

Jumanji: Welcome to the Jungle,2017,13+,119,6.9,58,Action,Adventure,Comedy,404.52

Snowpiercer,2013,R,126,7.1,84,Action,Drama,Sci-Fi,4.56

Pineapple Express,2008,21+,111,6.9,64,Action,Comedy,Crime,87.34

50/50,2011,R,100,7.6,72,Comedy,Drama,Romance,35.01

Jackie Brown,1997,13+,154,7.5,64,Crime,Drama,Thriller,39.67

Shichinin no samurai,1954,NA,207,8.6,98,Action,Adventure,Drama,0.27

Mission: Impossible II,2000,PG-13,123,6.1,59,Action,Adventure,Thriller,215.41

The Rock,1996,R,136,7.4,58,Action,Adventure,Thriller,134.07

Tron,2010,PG,125,6.8,49,Action,Adventure,Sci-Fi,172.06

Night at the Museum,2006,PG,108,6.4,48,Adventure,Comedy,Family,250.86

Equilibrium,2002,R,107,7.4,33,Action,Drama,Sci-Fi,1.20

Being John Malkovich,1999,R,113,7.7,90,Comedy,Drama,Fantasy,22.86

Fantastic Four,I 2005,PG-13,106,5.7,40,Action,Adventure,Fantasy,154.70

Pearl Harbor,2001,PG-13,183,6.2,44,Action,Drama,History,198.54

Meet the Parents,2000,PG-13,108,7.0,73,Comedy,Romance,NA,166.24

True Grit,2010,PG-13,110,7.6,80,Drama,Western,NA,171.24

The Deer Hunter,1978,NA,183,8.1,86,Drama,War,NA,48.98

Shooter,I 2007,R,124,7.2,53,Action,Drama,Thriller,47.00

Once Upon a Time in America,1984,R,229,8.4,NA,Crime,Drama,NA,5.32

Burn After Reading,2008,R,96,7.0,63,Comedy,Crime,Drama,60.36

The Simpsons Movie,2007,SU,87,7.3,80,Animation,Adventure,Comedy,183.14

Les Mis�rables,2012,PG-13,158,7.6,63,Drama,History,Musical,148.81

Jack Reacher,2012,PG-13,130,7.0,50,Action,Thriller,NA,80.07

Hellboy,2004,PG-13,122,6.8,72,Action,Fantasy,Horror,59.62

The Interview,II 2014,R,112,6.5,52,Action,Adventure,Comedy,6.11

Jumanji,1995,PG,104,7.0,39,Adventure,Comedy,Family,100.48

Constantine,2005,R,121,7.0,50,Action,Fantasy,Horror,75.98

Click,2006,PG-13,107,6.4,45,Comedy,Drama,Fantasy,137.36

Ant-Man and the Wasp,2018,13+,118,7.1,70,Action,Adventure,Comedy,216.65

Hugo,2011,PG,126,7.5,83,Drama,Family,Fantasy,73.86

How to Train Your Dragon 2,2014,PG,102,7.8,76,Animation,Action,Adventure,177.00

National Treasure,2004,PG,131,6.9,39,Action,Adventure,Mystery,173.01

Once Upon a Time in the West,1968,PG-13,165,8.5,80,Western,NA,NA,5.32

Total Recall,1990,NA,113,7.5,57,Action,Sci-Fi,Thriller,119.39

Eyes Wide Shut,1999,R,159,7.4,68,Drama,Mystery,Thriller,55.69

The Island,2005,PG-13,136,6.8,50,Action,Sci-Fi,Thriller,35.82

The Mummy Returns,2001,PG-13,130,6.4,48,Action,Adventure,Fantasy,202.02

Lucky Number Slevin,2006,R,110,7.7,53,Action,Crime,Drama,22.49

Home Alone 2: Lost in New York,1992,PG,120,6.8,NA,Adventure,Comedy,Crime,173.59

About Time,I 2013,R,123,7.8,55,Comedy,Drama,Fantasy,15.32

Transformers: Age of Extinction,2014,PG-13,165,5.6,32,Action,Adventure,Sci-Fi,245.44

Real Steel,2011,PG-13,127,7.1,56,Action,Drama,Sci-Fi,85.47

North by Northwest,1959,NA,136,8.3,98,Adventure,Mystery,Thriller,13.28

Fifty Shades of Grey,2015,17+,125,4.1,46,Drama,Romance,Thriller,166.17

The Nightmare Before Christmas,1993,PG,76,8.0,82,Animation,Family,Fantasy,75.08

10 Things I Hate About You,1999,PG-13,97,7.3,70,Comedy,Drama,Romance,38.18

Jurassic Park III,2001,PG-13,92,5.9,42,Action,Adventure,Sci-Fi,181.17

Hitch,I 2005,D,118,6.6,58,Comedy,Romance,NA,179.50

Salt,2010,PG-13,100,6.4,65,Action,Thriller,NA,118.31

The Proposal,I 2009,PG-13,108,6.7,48,Comedy,Drama,Romance,163.96

Interview with the Vampire: The Vampire Chronicles,1994,R,123,7.5,59,Drama,Horror,NA,105.26

Lord of War,2005,R,122,7.6,62,Action,Crime,Drama,24.15

Top Gun,1986,NA,110,6.9,50,Action,Drama,NA,179.80

To Kill a Mockingbird,1962,NA,129,8.2,88,Crime,Drama,NA,NA

The Secret Life of Walter Mitty,2013,PG,114,7.3,54,Comedy,Drama,Fantasy,58.24

The Book of Eli,2010,R,118,6.9,53,Action,Adventure,Drama,94.84

Chinatown,1974,NA,130,8.1,92,Drama,Mystery,Thriller,29.20

Deja Vu,2006,PG-13,126,7.1,59,Action,Crime,Sci-Fi,64.04

The Hangover Part III,2013,R,100,5.8,30,Comedy,Crime,NA,112.20

The Expendables 2,2012,R,103,6.6,51,Action,Adventure,Thriller,85.02

The Blind Side,2009,PG-13,129,7.6,53,Biography,Drama,Sport,255.96

Apocalypto,2006,D,139,7.8,68,Action,Adventure,Drama,50.87

There's Something About Mary,1998,R,119,7.1,69,Comedy,Romance,NA,176.48

A.I. Artificial Intelligence,2001,PG-13,146,7.2,65,Drama,Sci-Fi,NA,78.62

The Wrestler,2008,R,109,7.9,80,Drama,Sport,NA,26.24

Taken 2,2012,PG-13,92,6.3,45,Action,Thriller,NA,139.85

Babel,I 2006,R,143,7.4,69,Drama,NA,NA,34.30

10 Cloverfield Lane,2016,PG-13,103,7.2,76,Action,Drama,Horror,72.08

Magnolia,1999,R,188,8.0,77,Drama,NA,NA,22.46

Gone with the Wind,1939,NA,238,8.1,97,Drama,History,Romance,198.68

RED,2010,PG-13,111,7.0,60,Action,Comedy,Crime,90.38

Mission: Impossible - Fallout,2018,13+,147,7.7,86,Action,Adventure,Thriller,220.16

3:10 to Yuma,2007,R,122,7.7,76,Action,Crime,Drama,53.61

Pretty Woman,1990,R,119,7.0,51,Comedy,Romance,NA,178.41

Tonari no Totoro,1988,SU,86,8.2,86,Animation,Family,Fantasy,1.11

Scream,1996,17+,111,7.2,65,Horror,Mystery,NA,103.05

Solo: A Star Wars Story,2018,13+,135,6.9,62,Action,Adventure,Sci-Fi,213.77

Jumper,2008,PG-13,88,6.1,35,Action,Adventure,Sci-Fi,80.17

Seven Pounds,2008,PG-13,123,7.6,36,Drama,NA,NA,69.95

Bridge of Spies,2015,13+,142,7.6,81,Drama,History,Thriller,72.31

Neighbors,I 2014,R,97,6.3,68,Comedy,NA,NA,150.16

From Dusk Till Dawn,1996,R,108,7.2,48,Action,Crime,Horror,25.75

The Bourne Legacy,2012,PG-13,135,6.6,61,Action,Adventure,Thriller,113.20

The Transporter,2002,D,92,6.8,51,Action,Crime,Thriller,25.30

The Hunger Games: Mockingjay - Part 2,2015,PG-13,137,6.6,65,Action,Adventure,Sci-Fi,281.72

"O Brother, Where Art Thou?",2000,PG-13,107,7.7,69,Adventure,Comedy,Crime,45.51

Serenity,2005,PG-13,119,7.8,74,Action,Adventure,Sci-Fi,25.51

Jojo Rabbit,2019,PG-13,108,7.9,58,Comedy,Drama,War,0.35

Public Enemies,2009,R,140,7.0,70,Biography,Crime,Drama,97.10

The Mist,2007,R,126,7.1,58,Horror,Sci-Fi,Thriller,25.59

300: Rise of an Empire,2014,R,102,6.2,48,Action,Drama,NA,106.58

Liar Liar,1997,PG-13,86,6.9,70,Comedy,Fantasy,NA,181.41

Gattaca,1997,PG-13,106,7.8,64,Drama,Sci-Fi,Thriller,12.34

Contagion,2011,PG-13,106,6.7,70,Drama,Thriller,NA,75.66

The Untouchables,1987,NA,119,7.9,79,Crime,Drama,Thriller,76.27

Shrek the Third,2007,PG,93,6.1,58,Animation,Adventure,Comedy,320.71

Ford v Ferrari,2019,13+,152,8.1,81,Action,Biography,Drama,117.62

Annihilation,2018,R,115,6.8,79,Adventure,Drama,Horror,32.73

Insidious,I 2010,17+,103,6.8,52,Comedy,Drama,Horror,54.01

Donnie Brasco,1997,R,127,7.7,76,Biography,Crime,Drama,41.91

Jagten,2012,R,115,8.3,77,Drama,NA,NA,0.69

The Nice Guys,2016,R,116,7.4,70,Action,Comedy,Crime,36.26

The Dictator,2012,R,83,6.4,58,Comedy,NA,NA,59.65

Alien�,1992,R,114,6.5,59,Action,Horror,Sci-Fi,55.47

Ace Ventura: Pet Detective,1994,PG-13,86,6.9,37,Comedy,NA,NA,72.22

Pitch Perfect,2012,13+,112,7.1,66,Comedy,Music,Romance,65.00

Bird Box,2018,R,124,6.6,51,Horror,Sci-Fi,NA,NA

Con Air,1997,R,115,6.9,52,Action,Crime,Thriller,101.12

As Good as It Gets,1997,PG-13,139,7.7,67,Comedy,Drama,Romance,148.48

Insomnia,2002,R,118,7.2,78,Drama,Mystery,Thriller,67.36

Batman Returns,1992,PG-13,126,7.0,68,Action,Crime,Fantasy,162.83

Snow White and the Huntsman,2012,PG-13,127,6.1,57,Action,Adventure,Drama,155.33

Angels & Demons,2009,PG-13,138,6.7,48,Action,Mystery,Thriller,133.38

The Man from U.N.C.L.E.,2015,D,116,7.3,56,Action,Adventure,Comedy,45.45

Notting Hill,1999,PG-13,124,7.1,68,Comedy,Drama,Romance,116.09

Prince of Persia: The Sands of Time,2010,PG-13,116,6.6,50,Action,Adventure,Fantasy,90.76

Superman Returns,2006,PG-13,154,6.0,72,Action,Sci-Fi,NA,200.08

Beauty and the Beast,I 2017,13+,129,7.1,65,Family,Fantasy,Musical,504.01

Zero Dark Thirty,2012,R,157,7.4,95,Drama,History,Thriller,95.72

Law Abiding Citizen,2009,R,109,7.4,34,Action,Crime,Drama,73.34

Moonlight,I 2016,17+,111,7.4,99,Drama,NA,NA,27.85

Kingsman: The Golden Circle,2017,17+,141,6.7,44,Action,Adventure,Comedy,100.23

Clash of the Titans,2010,PG-13,106,5.8,39,Action,Adventure,Fantasy,163.21

Before Sunrise,1995,R,101,8.1,77,Drama,Romance,NA,5.54

John Wick: Chapter 3 - Parabellum,2019,17+,130,7.4,73,Action,Crime,Thriller,171.02

Starship Troopers,1997,R,129,7.2,51,Action,Adventure,Sci-Fi,54.81

Moana,I 2016,SU,107,7.6,81,Animation,Adventure,Comedy,248.76

Death Proof,2007,NA,127,7.0,NA,Action,Adventure,Thriller,NA

The School of Rock,2003,PG-13,109,7.1,82,Comedy,Music,NA,81.26

Step Brothers,2008,R,98,6.9,51,Comedy,NA,NA,100.47

Bridesmaids,I 2011,R,125,6.8,75,Comedy,Romance,NA,169.11

Apollo 13,I 1995,PG,140,7.6,77,Adventure,Drama,History,173.84

Kong: Skull Island,2017,13+,118,6.6,62,Action,Adventure,Fantasy,168.05

Lawrence of Arabia,1962,NA,228,8.3,100,Adventure,Biography,Drama,44.82

Green Lantern,2011,PG-13,114,5.5,39,Action,Adventure,Sci-Fi,116.60

Kingdom of Heaven,2005,D,144,7.2,63,Action,Adventure,Drama,47.40

The Fugitive,1993,PG-13,130,7.8,87,Action,Crime,Drama,183.88

Moulin Rouge!,2001,PG-13,127,7.6,66,Drama,Musical,Romance,57.39

The Royal Tenenbaums,2001,R,110,7.6,76,Comedy,Drama,NA,52.36

A Bug's Life,1998,NA,95,7.2,77,Animation,Adventure,Comedy,162.80

Lone Survivor,2013,R,121,7.5,60,Action,Biography,Drama,125.10

The Twilight Saga: New Moon,2009,PG-13,130,4.7,44,Drama,Fantasy,Romance,296.62

Jurassic World: Fallen Kingdom,2018,13+,128,6.2,51,Action,Adventure,Sci-Fi,417.72

Forgetting Sarah Marshall,2008,R,111,7.1,67,Comedy,Drama,Romance,63.17

Beetle Juice,1988,PG,92,7.5,70,Comedy,Fantasy,NA,73.71

Fast & Furious,2009,PG-13,107,6.6,46,Action,Thriller,NA,155.06

Pirates of the Caribbean: Dead Men Tell No Tales,2017,13+,129,6.5,39,Action,Adventure,Fantasy,172.56

Scent of a Woman,1992,R,156,8.0,59,Drama,NA,NA,63.90

Gone in Sixty Seconds,2000,PG-13,118,6.5,35,Action,Crime,Thriller,101.65

Fear and Loathing in Las Vegas,1998,R,118,7.6,41,Adventure,Comedy,Drama,10.68

The World's End,2013,R,109,7.0,81,Comedy,Sci-Fi,NA,26.00

Terminator Genisys,2015,D,126,6.3,38,Action,Adventure,Sci-Fi,89.76

The Accountant,2016,D,128,7.3,51,Action,Crime,Drama,86.26

28 Weeks Later,2007,R,100,7.0,78,Action,Horror,Sci-Fi,28.64

The Jungle Book,2016,SU,106,7.4,77,Adventure,Drama,Family,364.00

Panic Room,2002,R,112,6.8,65,Crime,Drama,Thriller,96.40

Olympus Has Fallen,2013,R,119,6.5,41,Action,Thriller,NA,98.93

Ice Age: The Meltdown,2006,PG,91,6.8,58,Animation,Adventure,Comedy,195.33

Pride & Prejudice,2005,PG,129,7.8,82,Drama,Romance,NA,38.41

Hellboy II: The Golden Army,2008,PG-13,120,7.0,78,Action,Adventure,Fantasy,75.75

1408,2007,PG-13,104,6.8,64,Fantasy,Horror,Mystery,71.99

John Carter,2012,PG-13,132,6.6,51,Action,Adventure,Sci-Fi,73.08

Mulan,1998,NA,88,7.6,71,Animation,Adventure,Family,120.62

Kick-Ass 2,2013,R,103,6.5,41,Action,Comedy,Crime,28.80

Stardust,2007,PG-13,127,7.6,66,Adventure,Family,Fantasy,38.63

The Patriot,2000,R,165,7.2,63,Action,Drama,History,113.33

Hannibal,2001,R,131,6.8,57,Crime,Drama,Thriller,165.09

Contact,1997,PG,150,7.4,62,Drama,Mystery,Sci-Fi,100.92

The Graduate,1967,PG,106,8.0,83,Comedy,Drama,Romance,104.95

Alien: Covenant,2017,17+,122,6.4,65,Horror,Sci-Fi,Thriller,74.26

Robin Hood,2010,PG-13,140,6.6,53,Action,Adventure,Drama,105.27

Underworld,2003,R,121,7.0,42,Action,Fantasy,Thriller,51.97

Wo hu cang long,2000,PG-13,120,7.8,94,Action,Adventure,Fantasy,128.08

Meet the Fockers,2004,D,115,6.3,41,Comedy,Romance,NA,279.26

Kung Fu Panda 2,2011,PG,90,7.2,67,Animation,Action,Adventure,165.25

Almost Famous,2000,R,122,7.9,90,Adventure,Comedy,Drama,32.53

Red Dragon,2002,R,124,7.2,60,Crime,Drama,Thriller,93.15

Annie Hall,1977,NA,93,8.0,92,Comedy,Romance,NA,39.20

Hulk,2003,PG-13,138,5.6,54,Action,Sci-Fi,NA,132.18

Hachi: A Dog's Tale,2009,NA,93,8.1,NA,Biography,Drama,Family,NA

Predestination,I 2014,R,97,7.5,69,Action,Drama,Sci-Fi,0.07

Phone Booth,2002,R,81,7.0,56,Crime,Thriller,NA,46.57

4: Rise of the Silver Surfer,2007,PG,92,5.6,45,Action,Adventure,Fantasy,131.92

2 Fast 2 Furious,2003,PG-13,107,5.9,38,Action,Crime,Thriller,127.15

Dredd,2012,D,95,7.1,60,Action,Crime,Sci-Fi,13.41
